observation_date,MZM
2000-01-03,4402.8
2000-01-10,4389.9
2000-01-17,4383.5
2000-01-24,4396.9
2000-01-31,4406.2
2000-02-07,4404.3
2000-02-14,4393.5
2000-02-21,4393.8
2000-02-28,4390.5
2000-03-06,4410.9
2000-03-13,4425.9
2000-03-20,4438.4
2000-03-27,4446.0
2000-04-03,4462.4
2000-04-10,4483.1
2000-04-17,4494.2
2000-04-24,4498.2
2000-05-01,4482.4
2000-05-08,4470.3
2000-05-15,4477.9
2000-05-22,4480.4
2000-05-29,4476.4
2000-06-05,4490.0
2000-06-12,4491.5
2000-06-19,4488.8
2000-06-26,4489.5
2000-07-03,4501.3
2000-07-10,4522.0
2000-07-17,4524.5
2000-07-24,4531.4
2000-07-31,4536.8
2000-08-07,4551.0
2000-08-14,4550.1
2000-08-21,4565.5
2000-08-28,4574.5
2000-09-04,4592.7
2000-09-11,4606.2
2000-09-18,4620.8
2000-09-25,4611.4
2000-10-02,4625.3
2000-10-09,4632.0
2000-10-16,4639.1
2000-10-23,4635.8
2000-10-30,4625.1
2000-11-06,4637.5
2000-11-13,4640.7
2000-11-20,4640.1
2000-11-27,4655.6
2000-12-04,4672.3
2000-12-11,4672.9
2000-12-18,4698.5
2000-12-25,4715.9
2001-01-01,4744.4
2001-01-08,4753.0
2001-01-15,4785.9
2001-01-22,4808.0
2001-01-29,4799.2
2001-02-05,4840.3
2001-02-12,4874.3
2001-02-19,4896.1
2001-02-26,4915.0
2001-03-05,4946.3
2001-03-12,4953.2
2001-03-19,4953.7
2001-03-26,5001.4
2001-04-02,5039.7
2001-04-09,5055.7
2001-04-16,5079.9
2001-04-23,5082.4
2001-04-30,5095.8
2001-05-07,5098.4
2001-05-14,5102.4
2001-05-21,5130.8
2001-05-28,5144.1
2001-06-04,5185.4
2001-06-11,5191.2
2001-06-18,5208.8
2001-06-25,5210.2
2001-07-02,5240.8
2001-07-09,5241.2
2001-07-16,5266.0
2001-07-23,5271.8
2001-07-30,5265.5
2001-08-06,5261.5
2001-08-13,5275.6
2001-08-20,5271.6
2001-08-27,5300.8
2001-09-03,5332.8
2001-09-10,5342.0
2001-09-17,5519.2
2001-09-24,5518.5
2001-10-01,5485.4
2001-10-08,5505.7
2001-10-15,5519.4
2001-10-22,5528.1
2001-10-29,5542.3
2001-11-05,5565.7
2001-11-12,5595.7
2001-11-19,5605.3
2001-11-26,5633.7
2001-12-03,5657.3
2001-12-10,5674.7
2001-12-17,5708.6
2001-12-24,5701.9
2001-12-31,5712.8
2002-01-07,5700.2
2002-01-14,5715.5
2002-01-21,5728.8
2002-01-28,5742.9
2002-02-04,5757.5
2002-02-11,5764.7
2002-02-18,5777.1
2002-02-25,5783.6
2002-03-04,5786.8
2002-03-11,5790.3
2002-03-18,5803.8
2002-03-25,5797.2
2002-04-01,5803.7
2002-04-08,5794.2
2002-04-15,5805.7
2002-04-22,5816.7
2002-04-29,5826.7
2002-05-06,5824.6
2002-05-13,5843.0
2002-05-20,5849.2
2002-05-27,5871.1
2002-06-03,5848.2
2002-06-10,5859.3
2002-06-17,5876.2
2002-06-24,5887.4
2002-07-01,5877.5
2002-07-08,5883.8
2002-07-15,5905.0
2002-07-22,5930.3
2002-07-29,5950.0
2002-08-05,5940.7
2002-08-12,5946.9
2002-08-19,5955.5
2002-08-26,5954.9
2002-09-02,5953.0
2002-09-09,5948.2
2002-09-16,5970.6
2002-09-23,5965.3
2002-09-30,5970.2
2002-10-07,5969.5
2002-10-14,5978.4
2002-10-21,5996.1
2002-10-28,6009.8
2002-11-04,6023.7
2002-11-11,6065.8
2002-11-18,6151.7
2002-11-25,6164.1
2002-12-02,6170.9
2002-12-09,6176.8
2002-12-16,6187.5
2002-12-23,6172.1
2002-12-30,6154.5
2003-01-06,6158.6
2003-01-13,6167.8
2003-01-20,6185.0
2003-01-27,6213.5
2003-02-03,6204.7
2003-02-10,6214.1
2003-02-17,6238.0
2003-02-24,6211.0
2003-03-03,6203.8
2003-03-10,6213.2
2003-03-17,6240.8
2003-03-24,6229.0
2003-03-31,6225.6
2003-04-07,6228.8
2003-04-14,6229.8
2003-04-21,6232.5
2003-04-28,6276.4
2003-05-05,6292.8
2003-05-12,6294.4
2003-05-19,6285.6
2003-05-26,6293.3
2003-06-02,6298.5
2003-06-09,6304.8
2003-06-16,6325.9
2003-06-23,6343.9
2003-06-30,6404.1
2003-07-07,6438.4
2003-07-14,6430.4
2003-07-21,6434.9
2003-07-28,6440.2
2003-08-04,6472.4
2003-08-11,6469.9
2003-08-18,6500.2
2003-08-25,6458.3
2003-09-01,6462.0
2003-09-08,6450.2
2003-09-15,6449.9
2003-09-22,6443.7
2003-09-29,6440.2
2003-10-06,6415.8
2003-10-13,6429.5
2003-10-20,6432.1
2003-10-27,6435.1
2003-11-03,6426.3
2003-11-10,6430.9
2003-11-17,6425.8
2003-11-24,6419.6
2003-12-01,6410.8
2003-12-08,6400.0
2003-12-15,6391.7
2003-12-22,6394.6
2003-12-29,6383.8
2004-01-05,6398.9
2004-01-12,6395.7
2004-01-19,6402.8
2004-01-26,6414.6
2004-02-02,6427.9
2004-02-09,6423.2
2004-02-16,6444.3
2004-02-23,6455.8
2004-03-01,6464.3
2004-03-08,6459.1
2004-03-15,6476.4
2004-03-22,6499.0
2004-03-29,6509.5
2004-04-05,6511.9
2004-04-12,6513.4
2004-04-19,6519.0
2004-04-26,6556.7
2004-05-03,6588.7
2004-05-10,6604.7
2004-05-17,6638.5
2004-05-24,6624.0
2004-05-31,6618.9
2004-06-07,6607.7
2004-06-14,6619.5
2004-06-21,6621.8
2004-06-28,6622.9
2004-07-05,6598.2
2004-07-12,6610.1
2004-07-19,6616.2
2004-07-26,6630.0
2004-08-02,6633.7
2004-08-09,6632.6
2004-08-16,6637.0
2004-08-23,6639.1
2004-08-30,6616.2
2004-09-06,6626.8
2004-09-13,6642.5
2004-09-20,6660.4
2004-09-27,6668.9
2004-10-04,6651.8
2004-10-11,6644.6
2004-10-18,6649.2
2004-10-25,6657.5
2004-11-01,6677.3
2004-11-08,6673.0
2004-11-15,6672.5
2004-11-22,6677.0
2004-11-29,6676.4
2004-12-06,6673.8
2004-12-13,6676.3
2004-12-20,6678.5
2004-12-27,6698.4
2005-01-03,6660.8
2005-01-10,6656.5
2005-01-17,6661.5
2005-01-24,6664.2
2005-01-31,6655.1
2005-02-07,6658.3
2005-02-14,6649.0
2005-02-21,6667.7
2005-02-28,6656.7
2005-03-07,6648.9
2005-03-14,6642.3
2005-03-21,6647.6
2005-03-28,6655.3
2005-04-04,6654.2
2005-04-11,6651.1
2005-04-18,6658.5
2005-04-25,6658.9
2005-05-02,6656.8
2005-05-09,6656.4
2005-05-16,6648.4
2005-05-23,6653.8
2005-05-30,6651.9
2005-06-06,6660.0
2005-06-13,6673.3
2005-06-20,6686.1
2005-06-27,6705.3
2005-07-04,6699.7
2005-07-11,6696.0
2005-07-18,6709.6
2005-07-25,6730.5
2005-08-01,6745.8
2005-08-08,6736.2
2005-08-15,6733.2
2005-08-22,6746.2
2005-08-29,6746.0
2005-09-05,6758.6
2005-09-12,6765.4
2005-09-19,6788.4
2005-09-26,6792.7
2005-10-03,6790.7
2005-10-10,6797.7
2005-10-17,6821.8
2005-10-24,6828.7
2005-10-31,6817.6
2005-11-07,6807.1
2005-11-14,6816.9
2005-11-21,6837.5
2005-11-28,6820.1
2005-12-05,6819.4
2005-12-12,6838.8
2005-12-19,6847.6
2005-12-26,6865.3
2006-01-02,6882.6
2006-01-09,6895.2
2006-01-16,6892.9
2006-01-23,6896.6
2006-01-30,6875.9
2006-02-06,6889.1
2006-02-13,6878.7
2006-02-20,6898.7
2006-02-27,6922.1
2006-03-06,6913.8
2006-03-13,6893.4
2006-03-20,6892.0
2006-03-27,6906.7
2006-04-03,6913.8
2006-04-10,6925.2
2006-04-17,6935.4
2006-04-24,6949.4
2006-05-01,6935.7
2006-05-08,6927.1
2006-05-15,6933.9
2006-05-22,6945.3
2006-05-29,6943.8
2006-06-05,6941.7
2006-06-12,6960.2
2006-06-19,6986.4
2006-06-26,7002.8
2006-07-03,6994.0
2006-07-10,7020.4
2006-07-17,7018.9
2006-07-24,7020.8
2006-07-31,7007.0
2006-08-07,7029.7
2006-08-14,7027.7
2006-08-21,7051.8
2006-08-28,7049.2
2006-09-04,7055.0
2006-09-11,7061.4
2006-09-18,7068.6
2006-09-25,7076.4
2006-10-02,7080.7
2006-10-09,7122.5
2006-10-16,7131.7
2006-10-23,7135.6
2006-10-30,7120.2
2006-11-06,7145.8
2006-11-13,7144.7
2006-11-20,7164.8
2006-11-27,7194.3
2006-12-04,7206.3
2006-12-11,7212.4
2006-12-18,7241.3
2006-12-25,7268.7
2007-01-01,7273.0
2007-01-08,7271.7
2007-01-15,7266.9
2007-01-22,7254.7
2007-01-29,7252.6
2007-02-05,7246.6
2007-02-12,7267.5
2007-02-19,7282.1
2007-02-26,7312.0
2007-03-05,7289.5
2007-03-12,7311.7
2007-03-19,7328.1
2007-03-26,7368.7
2007-04-02,7383.5
2007-04-09,7411.8
2007-04-16,7438.8
2007-04-23,7449.8
2007-04-30,7435.1
2007-05-07,7464.9
2007-05-14,7466.2
2007-05-21,7489.0
2007-05-28,7488.1
2007-06-04,7495.0
2007-06-11,7522.4
2007-06-18,7544.9
2007-06-25,7560.3
2007-07-02,7582.7
2007-07-09,7595.7
2007-07-16,7613.3
2007-07-23,7617.7
2007-07-30,7632.9
2007-08-06,7667.0
2007-08-13,7712.6
2007-08-20,7781.5
2007-08-27,7852.0
2007-09-03,7830.2
2007-09-10,7856.9
2007-09-17,7885.8
2007-09-24,7894.8
2007-10-01,7930.6
2007-10-08,7969.2
2007-10-15,7954.7
2007-10-22,7977.6
2007-10-29,8039.7
2007-11-05,8014.8
2007-11-12,8056.1
2007-11-19,8085.7
2007-11-26,8107.3
2007-12-03,8117.3
2007-12-10,8146.5
2007-12-17,8149.1
2007-12-24,8157.1
2007-12-31,8145.6
2008-01-07,8135.1
2008-01-14,8146.5
2008-01-21,8181.6
2008-01-28,8258.1
2008-02-04,8326.8
2008-02-11,8372.9
2008-02-18,8405.7
2008-02-25,8449.2
2008-03-03,8491.0
2008-03-10,8528.2
2008-03-17,8561.3
2008-03-24,8595.1
2008-03-31,8622.0
2008-04-07,8642.9
2008-04-14,8658.1
2008-04-21,8676.3
2008-04-28,8651.4
2008-05-05,8620.7
2008-05-12,8670.7
2008-05-19,8704.1
2008-05-26,8739.4
2008-06-02,8742.3
2008-06-09,8751.6
2008-06-16,8749.6
2008-06-23,8757.1
2008-06-30,8734.5
2008-07-07,8769.6
2008-07-14,8797.8
2008-07-21,8815.1
2008-07-28,8801.7
2008-08-04,8806.5
2008-08-11,8819.5
2008-08-18,8810.0
2008-08-25,8797.5
2008-09-01,8796.9
2008-09-08,8796.9
2008-09-15,8782.9
2008-09-22,8847.1
2008-09-29,8826.8
2008-10-06,8780.2
2008-10-13,8820.2
2008-10-20,8895.0
2008-10-27,8870.9
2008-11-03,8884.5
2008-11-10,8911.4
2008-11-17,8942.3
2008-11-24,8993.1
2008-12-01,9058.4
2008-12-08,9119.6
2008-12-15,9163.2
2008-12-22,9208.0
2008-12-29,9240.8
2009-01-05,9290.1
2009-01-12,9306.4
2009-01-19,9351.9
2009-01-26,9363.0
2009-02-02,9387.7
2009-02-09,9405.5
2009-02-16,9408.0
2009-02-23,9404.1
2009-03-02,9446.2
2009-03-09,9508.1
2009-03-16,9536.9
2009-03-23,9524.7
2009-03-30,9490.7
2009-04-06,9503.5
2009-04-13,9514.7
2009-04-20,9545.5
2009-04-27,9566.1
2009-05-04,9613.2
2009-05-11,9623.4
2009-05-18,9630.6
2009-05-25,9634.2
2009-06-01,9656.6
2009-06-08,9661.7
2009-06-15,9656.6
2009-06-22,9634.0
2009-06-29,9639.4
2009-07-06,9650.4
2009-07-13,9638.1
2009-07-20,9653.1
2009-07-27,9685.5
2009-08-03,9672.5
2009-08-10,9654.2
2009-08-17,9640.8
2009-08-24,9599.5
2009-08-31,9617.8
2009-09-07,9623.8
2009-09-14,9613.1
2009-09-21,9603.2
2009-09-28,9614.9
2009-10-05,9589.0
2009-10-12,9609.1
2009-10-19,9601.7
2009-10-26,9589.0
2009-11-02,9597.2
2009-11-09,9592.6
2009-11-16,9592.8
2009-11-23,9600.0
2009-11-30,9591.9
2009-12-07,9596.0
2009-12-14,9572.3
2009-12-21,9540.5
2009-12-28,9524.4
2010-01-04,9513.4
2010-01-11,9510.8
2010-01-18,9501.2
2010-01-25,9495.2
2010-02-01,9497.2
2010-02-08,9505.6
2010-02-15,9531.8
2010-02-22,9507.5
2010-03-01,9505.4
2010-03-08,9483.4
2010-03-15,9466.3
2010-03-22,9432.1
2010-03-29,9437.5
2010-04-05,9439.8
2010-04-12,9424.8
2010-04-19,9399.1
2010-04-26,9413.8
2010-05-03,9440.8
2010-05-10,9442.4
2010-05-17,9468.4
2010-05-24,9431.6
2010-05-31,9453.9
2010-06-07,9454.6
2010-06-14,9439.9
2010-06-21,9464.6
2010-06-28,9480.4
2010-07-05,9462.1
2010-07-12,9487.6
2010-07-19,9487.1
2010-07-26,9499.6
2010-08-02,9525.8
2010-08-09,9562.1
2010-08-16,9567.4
2010-08-23,9570.9
2010-08-30,9586.4
2010-09-06,9604.0
2010-09-13,9615.3
2010-09-20,9622.4
2010-09-27,9637.3
2010-10-04,9664.2
2010-10-11,9679.6
2010-10-18,9689.4
2010-10-25,9680.6
2010-11-01,9711.1
2010-11-08,9715.4
2010-11-15,9718.3
2010-11-22,9726.9
2010-11-29,9748.3
2010-12-06,9747.7
2010-12-13,9761.0
2010-12-20,9749.0
2010-12-27,9756.2
2011-01-03,9744.7
2011-01-10,9750.3
2011-01-17,9791.9
2011-01-24,9739.6
2011-01-31,9753.9
2011-02-07,9767.9
2011-02-14,9781.1
2011-02-21,9815.9
2011-02-28,9822.2
2011-03-07,9847.8
2011-03-14,9856.1
2011-03-21,9890.3
2011-03-28,9898.5
2011-04-04,9926.6
2011-04-11,9948.2
2011-04-18,9988.2
2011-04-25,10006.3
2011-05-02,10045.4
2011-05-09,10054.0
2011-05-16,10073.4
2011-05-23,10072.0
2011-05-30,10089.1
2011-06-06,10082.4
2011-06-13,10100.4
2011-06-20,10138.2
2011-06-27,10210.2
2011-07-04,10250.5
2011-07-11,10258.5
2011-07-18,10296.4
2011-07-25,10318.9
2011-08-01,10431.4
2011-08-08,10389.0
2011-08-15,10447.7
2011-08-22,10477.0
2011-08-29,10474.5
2011-09-05,10491.9
2011-09-12,10490.8
2011-09-19,10492.6
2011-09-26,10514.9
2011-10-03,10536.9
2011-10-10,10545.7
2011-10-17,10549.3
2011-10-24,10534.4
2011-10-31,10547.2
2011-11-07,10569.0
2011-11-14,10593.9
2011-11-21,10590.0
2011-11-28,10589.3
2011-12-05,10602.4
2011-12-12,10621.6
2011-12-19,10621.7
2011-12-26,10644.4
2012-01-02,10707.2
2012-01-09,10708.6
2012-01-16,10726.2
2012-01-23,10725.8
2012-01-30,10721.2
2012-02-06,10733.5
2012-02-13,10750.7
2012-02-20,10773.5
2012-02-27,10784.8
2012-03-05,10805.2
2012-03-12,10816.5
2012-03-19,10823.1
2012-03-26,10847.1
2012-04-02,10858.1
2012-04-09,10869.4
2012-04-16,10883.8
2012-04-23,10895.4
2012-04-30,10920.2
2012-05-07,10931.7
2012-05-14,10922.7
2012-05-21,10930.5
2012-05-28,10926.9
2012-06-04,10956.6
2012-06-11,10995.9
2012-06-18,11002.8
2012-06-25,11006.8
2012-07-02,11040.7
2012-07-09,11059.9
2012-07-16,11088.1
2012-07-23,11082.2
2012-07-30,11117.6
2012-08-06,11139.3
2012-08-13,11169.1
2012-08-20,11176.5
2012-08-27,11189.8
2012-09-03,11220.8
2012-09-10,11240.9
2012-09-17,11272.3
2012-09-24,11275.3
2012-10-01,11321.1
2012-10-08,11309.5
2012-10-15,11314.4
2012-10-22,11327.6
2012-10-29,11359.2
2012-11-05,11393.0
2012-11-12,11384.7
2012-11-19,11370.3
2012-11-26,11404.4
2012-12-03,11447.1
2012-12-10,11493.2
2012-12-17,11534.7
2012-12-24,11567.6
2012-12-31,11615.4
2013-01-07,11621.9
2013-01-14,11602.6
2013-01-21,11587.1
2013-01-28,11598.3
2013-02-04,11609.5
2013-02-11,11624.0
2013-02-18,11598.8
2013-02-25,11599.5
2013-03-04,11638.5
2013-03-11,11636.8
2013-03-18,11664.8
2013-03-25,11680.1
2013-04-01,11732.0
2013-04-08,11719.2
2013-04-15,11723.9
2013-04-22,11725.0
2013-04-29,11735.2
2013-05-06,11730.5
2013-05-13,11755.3
2013-05-20,11754.3
2013-05-27,11788.6
2013-06-03,11818.6
2013-06-10,11830.3
2013-06-17,11832.3
2013-06-24,11825.1
2013-07-01,11874.5
2013-07-08,11853.7
2013-07-15,11891.9
2013-07-22,11933.6
2013-07-29,11938.0
2013-08-05,11950.9
2013-08-12,11955.5
2013-08-19,11943.3
2013-08-26,11979.4
2013-09-02,12001.3
2013-09-09,11994.2
2013-09-16,12015.1
2013-09-23,12070.4
2013-09-30,12137.2
2013-10-07,12131.0
2013-10-14,12141.5
2013-10-21,12161.7
2013-10-28,12185.9
2013-11-04,12179.4
2013-11-11,12158.1
2013-11-18,12158.5
2013-11-25,12175.7
2013-12-02,12198.7
2013-12-09,12222.4
2013-12-16,12216.1
2013-12-23,12223.0
2013-12-30,12226.4
2014-01-06,12256.4
2014-01-13,12249.8
2014-01-20,12280.2
2014-01-27,12328.2
2014-02-03,12330.8
2014-02-10,12367.3
2014-02-17,12401.5
2014-02-24,12364.6
2014-03-03,12368.9
2014-03-10,12388.0
2014-03-17,12409.3
2014-03-24,12428.0
2014-03-31,12422.3
2014-04-07,12429.0
2014-04-14,12436.2
2014-04-21,12436.9
2014-04-28,12492.0
2014-05-05,12494.7
2014-05-12,12511.5
2014-05-19,12508.6
2014-05-26,12536.7
2014-06-02,12566.5
2014-06-09,12546.2
2014-06-16,12564.6
2014-06-23,12576.1
2014-06-30,12598.1
2014-07-07,12606.7
2014-07-14,12628.1
2014-07-21,12647.0
2014-07-28,12655.1
2014-08-04,12656.2
2014-08-11,12627.5
2014-08-18,12643.9
2014-08-25,12660.5
2014-09-01,12684.2
2014-09-08,12683.7
2014-09-15,12697.0
2014-09-22,12709.5
2014-09-29,12730.2
2014-10-06,12767.1
2014-10-13,12769.8
2014-10-20,12792.5
2014-10-27,12822.8
2014-11-03,12798.9
2014-11-10,12832.9
2014-11-17,12840.3
2014-11-24,12859.4
2014-12-01,12889.0
2014-12-08,12919.1
2014-12-15,12939.3
2014-12-22,12958.9
2014-12-29,12983.6
2015-01-05,12978.7
2015-01-12,12989.3
2015-01-19,13002.8
2015-01-26,13051.4
2015-02-02,13111.2
2015-02-09,13117.8
2015-02-16,13133.7
2015-02-23,13166.6
2015-03-02,13177.3
2015-03-09,13142.4
2015-03-16,13171.2
2015-03-23,13188.9
2015-03-30,13213.5
2015-04-06,13214.4
2015-04-13,13229.0
2015-04-20,13230.4
2015-04-27,13227.2
2015-05-04,13230.6
2015-05-11,13251.0
2015-05-18,13260.9
2015-05-25,13304.1
2015-06-01,13315.3
2015-06-08,13299.8
2015-06-15,13307.1
2015-06-22,13360.3
2015-06-29,13381.0
2015-07-06,13412.7
2015-07-13,13411.1
2015-07-20,13413.9
2015-07-27,13447.4
2015-08-03,13437.4
2015-08-10,13468.2
2015-08-17,13495.5
2015-08-24,13519.4
2015-08-31,13527.9
2015-09-07,13524.0
2015-09-14,13531.9
2015-09-21,13557.0
2015-09-28,13547.4
2015-10-05,13546.2
2015-10-12,13561.5
2015-10-19,13587.6
2015-10-26,13646.0
2015-11-02,13698.7
2015-11-09,13689.5
2015-11-16,13700.3
2015-11-23,13709.4
2015-11-30,13701.3
2015-12-07,13723.9
2015-12-14,13735.3
2015-12-21,13742.9
2015-12-28,13751.0
2016-01-04,13738.8
2016-01-11,13752.3
2016-01-18,13778.1
2016-01-25,13824.2
2016-02-01,13856.4
2016-02-08,13837.7
2016-02-15,13877.1
2016-02-22,13917.5
2016-02-29,13923.8
2016-03-07,13958.2
2016-03-14,13959.8
2016-03-21,13992.4
2016-03-28,14030.4
2016-04-04,14053.1
2016-04-11,14046.6
2016-04-18,14085.8
2016-04-25,14113.0
2016-05-02,14147.6
2016-05-09,14155.0
2016-05-16,14163.1
2016-05-23,14187.5
2016-05-30,14181.1
2016-06-06,14201.8
2016-06-13,14241.1
2016-06-20,14263.2
2016-06-27,14278.4
2016-07-04,14283.9
2016-07-11,14277.1
2016-07-18,14315.1
2016-07-25,14336.9
2016-08-01,14357.5
2016-08-08,14395.9
2016-08-15,14407.7
2016-08-22,14412.5
2016-08-29,14433.7
2016-09-05,14449.5
2016-09-12,14457.8
2016-09-19,14434.0
2016-09-26,14459.8
2016-10-03,14461.7
2016-10-10,14480.8
2016-10-17,14474.6
2016-10-24,14468.5
2016-10-31,14495.4
2016-11-07,14511.0
2016-11-14,14539.3
2016-11-21,14574.1
2016-11-28,14573.8
2016-12-05,14580.7
2016-12-12,14585.7
2016-12-19,14581.9
2016-12-26,14584.7
2017-01-02,14593.6
2017-01-09,14630.3
2017-01-16,14629.2
2017-01-23,14638.2
2017-01-30,14651.1
2017-02-06,14682.1
2017-02-13,14679.3
2017-02-20,14699.8
2017-02-27,14733.1
2017-03-06,14724.4
2017-03-13,14760.4
2017-03-20,14781.9
2017-03-27,14779.3
2017-04-03,14765.6
2017-04-10,14809.1
2017-04-17,14821.8
2017-04-24,14857.9
2017-05-01,14894.6
2017-05-08,14882.1
2017-05-15,14896.3
2017-05-22,14921.5
2017-05-29,14921.6
2017-06-05,14916.9
2017-06-12,14916.7
2017-06-19,14911.3
2017-06-26,14939.5
2017-07-03,14913.2
2017-07-10,14958.1
2017-07-17,14959.0
2017-07-24,14961.1
2017-07-31,14989.6
2017-08-07,15004.9
2017-08-14,15015.6
2017-08-21,15057.1
2017-08-28,15087.4
2017-09-04,15067.8
2017-09-11,15091.2
2017-09-18,15114.1
2017-09-25,15120.2
2017-10-02,15139.3
2017-10-09,15169.0
2017-10-16,15156.5
2017-10-23,15172.5
2017-10-30,15173.8
2017-11-06,15157.5
2017-11-13,15161.6
2017-11-20,15156.0
2017-11-27,15196.1
2017-12-04,15211.9
2017-12-11,15242.4
2017-12-18,15263.5
2017-12-25,15240.9
2018-01-01,15249.2
2018-01-08,15254.9
2018-01-15,15264.7
2018-01-22,15278.0
2018-01-29,15281.8
2018-02-05,15282.6
2018-02-12,15284.2
2018-02-19,15292.7
2018-02-26,15335.8
2018-03-05,15353.8
2018-03-12,15359.8
2018-03-19,15338.5
2018-03-26,15391.1
2018-04-02,15394.8
2018-04-09,15398.0
2018-04-16,15403.3
2018-04-23,15426.5
2018-04-30,15414.4
2018-05-07,15427.0
2018-05-14,15444.1
2018-05-21,15468.8
2018-05-28,15480.3
2018-06-04,15498.4
2018-06-11,15533.2
2018-06-18,15536.5
2018-06-25,15509.7
2018-07-02,15531.8
2018-07-09,15517.1
2018-07-16,15549.0
2018-07-23,15549.4
2018-07-30,15536.3
2018-08-06,15538.5
2018-08-13,15547.6
2018-08-20,15557.2
2018-08-27,15573.2
2018-09-03,15573.8
2018-09-10,15568.5
2018-09-17,15584.4
2018-09-24,15584.6
2018-10-01,15591.5
2018-10-08,15550.3
2018-10-15,15570.6
2018-10-22,15575.9
2018-10-29,15569.3
2018-11-05,15538.9
2018-11-12,15536.4
2018-11-19,15566.7
2018-11-26,15591.6
2018-12-03,15610.1
2018-12-10,15597.8
2018-12-17,15644.4
2018-12-24,15727.3
2018-12-31,15744.4
2019-01-07,15729.9
2019-01-14,15751.6
2019-01-21,15754.9
2019-01-28,15790.1
2019-02-04,15768.6
2019-02-11,15786.6
2019-02-18,15786.2
2019-02-25,15793.7
2019-03-04,15807.8
2019-03-11,15837.0
2019-03-18,15836.7
2019-03-25,15836.3
2019-04-01,15879.9
2019-04-08,15882.7
2019-04-15,15885.3
2019-04-22,15866.1
2019-04-29,15915.9
2019-05-06,15952.3
2019-05-13,15962.8
2019-05-20,16013.7
2019-05-27,16070.6
2019-06-03,16109.2
2019-06-10,16133.1
2019-06-17,16173.4
2019-06-24,16227.3
2019-07-01,16252.9
2019-07-08,16288.9
2019-07-15,16286.4
2019-07-22,16336.4
2019-07-29,16383.3
2019-08-05,16396.8
2019-08-12,16419.9
2019-08-19,16438.1
2019-08-26,16458.7
2019-09-02,16483.5
2019-09-09,16505.9
2019-09-16,16527.4
2019-09-23,16600.1
2019-09-30,16654.2
2019-10-07,16698.4
2019-10-14,16703.1
2019-10-21,16748.5
2019-10-28,16783.4
2019-11-04,16829.5
2019-11-11,16862.4
2019-11-18,16900.9
2019-11-25,16906.5
2019-12-02,16928.7
2019-12-09,16919.1
2019-12-16,16975.2
2019-12-23,16988.1
2019-12-30,16986.1
2020-01-06,17011.8
2020-01-13,17060.7
2020-01-20,17124.2
2020-01-27,17157.0
2020-02-03,17140.8
2020-02-10,17143.9
2020-02-17,17157.9
2020-02-24,17173.0
2020-03-02,17242.9
2020-03-09,17327.7
2020-03-16,17577.6
2020-03-23,18191.2
2020-03-30,18811.8
2020-04-06,19057.1
2020-04-13,19239.1
2020-04-20,19689.3
2020-04-27,20152.9
2020-05-04,20424.9
2020-05-11,20673.5
2020-05-18,20777.1
2020-05-25,20795.4
2020-06-01,20825.6
2020-06-08,20878.1
2020-06-15,20930.5
2020-06-22,21036.0
2020-06-29,21040.9
2020-07-06,21100.4
2020-07-13,21159.8
2020-07-20,21013.6
2020-07-27,21009.0
2020-08-03,20975.4
2020-08-10,21107.9
2020-08-17,21120.7
2020-08-24,21042.8
2020-08-31,21119.5
2020-09-07,21209.6
2020-09-14,21297.8
2020-09-21,21294.4
2020-09-28,21209.7
2020-10-05,21242.3
2020-10-12,21325.4
2020-10-19,21339.7
2020-10-26,21354.2
2020-11-02,21391.4
2020-11-09,21532.7
2020-11-16,21548.5
2020-11-23,21584.4
2020-11-30,21440.9
2020-12-07,21665.9
2020-12-14,21730.3
2020-12-21,21586.1
2020-12-28,21521.8
2021-01-04,21587.8
2021-01-11,21978.1
2021-01-18,22004.0
2021-01-25,21967.5
2021-02-01,21980.5
